date,open,high,previsao
1577959200000,7190.99,7191,0
1577962800000,7169.04,7169.06,0
1577966400000,7129.25,7161,0
1577970000000,7142.61,7152.05,0
1577973600000,7138.93,7149.02,0
1577977200000,7136.04,7140.63,0
1577980800000,7110.98,7157.48,0
1577984400000,7153.57,7165,0
1577988000000,7162.18,7180,0
1577991600000,7161.89,7168.67,0
1577995200000,7139.73,7163.4,0
1577998800000,7158.86,7163.35,0
1578002400000,7131.18,7157.1,0
1578006000000,7135.59,7152,0
1578009600000,7130.37,7146.85,0
1578013200000,7052.32,7053.09,0
1578016800000,6970.04,6989.68,0
1578020400000,6974.02,6995,0
1578024000000,6982.63,6983.22,0
1578027600000,6948.16,6985,0
1578031200000,6977.55,6978.24,0
1578034800000,6974.8,6974.8,0
1578038400000,6965.49,6966.47,0
1578042000000,6937,6946.07,0
1578045600000,6888.26,6966.8,0
1578049200000,6957.66,6966.36,0
1578052800000,6952.04,7264.71,1
1578056400000,7210.2,7249,0
1578060000000,7220.49,7225,0
1578063600000,7202.06,7232,0
1578067200000,7202.28,7297.29,0
1578070800000,7260.64,7358.88,0
1578074400000,7349.3,7371.92,0
1578078000000,7312.26,7346,0
1578081600000,7340.46,7350.19,0
1578085200000,7324.1,7380,0
1578088800000,7348.36,7362.31,0
1578092400000,7255.49,7322.44,0
1578096000000,7320.17,7405,0
1578099600000,7388.21,7403.2,0
1578103200000,7355.23,7369.47,0
1578106800000,7342.95,7352.33,0
1578110400000,7343.62,7361,0
1578114000000,7317.01,7335,0
1578117600000,7281.69,7320.54,0
1578121200000,7301.32,7346.08,0
1578124800000,7345,7350,0
1578128400000,7304.96,7312.58,0
1578132000000,7308.71,7328.99,0
1578135600000,7328.21,7339.69,0
1578139200000,7333.14,7338.46,0
1578142800000,7334.59,7369.28,0
1578146400000,7344.7,7367.88,0
1578150000000,7354.95,7363.63,0
1578153600000,7348.04,7365,0
1578157200000,7346.4,7369.18,0
1578160800000,7364.32,7369.63,0
1578164400000,7318.15,7339.27,0
1578168000000,7336.75,7339.58,0
1578171600000,7312.79,7326.49,0
1578175200000,7303.72,7323.74,0
1578178800000,7315.51,7332,0
1578182400000,7318.98,7323.26,0
1578186000000,7308,7352,0
1578189600000,7351.36,7404,0
1578193200000,7306.6,7353.84,0
1578196800000,7334.89,7352.64,0
1578200400000,7340.9,7367.31,0
1578204000000,7350.72,7359.7,0
1578207600000,7350.05,7363,0
1578211200000,7354.19,7393,0
1578214800000,7373.43,7481.87,0
1578218400000,7459.91,7482.87,0
1578222000000,7443.92,7478,0
1578225600000,7476,7495,0
1578229200000,7457.18,7470,0
1578232800000,7458.51,7481.25,0
1578236400000,7457.83,7470.36,0
1578240000000,7463.64,7472,0
1578243600000,7430,7436.84,0
